City,State,Latitude,Longitude,Year,Month,NDVI,NDBI,NDWI,Elevation (m),LST (°C)
Thiruvananthapuram,Kerala,8.4875,76.9525,2021,January,0.0784,0.0597,-0.1343,15,34.2
Dispur,Assam,26.15,91.77,2021,January,0.2941,-0.0381,-0.2608,116,23.09
Durgapur,West Bengal,23.55,87.32,2021,January,0.1415,-0.006,-0.1511,90,25.88
Bhiwandi,Mahārāshtra,19.3,73.0667,2021,January,0.0726,0.033,-0.1364,25,35.18
Saharanpur,Uttar Pradesh,29.964,77.546,2021,January,0.0021,-0.0031,0.0129,280,20.22
Shiliguri,West Bengal,26.72,88.42,2021,January,0.1067,0.0879,-0.1101,119,24.87
Avadi,Tamil Nādu,13.1147,80.1098,2021,January,0.1594,-0.116,-0.0925,32,30.55
Salem,Tamil Nādu,11.65,78.1667,2021,January,0.079,0.1153,-0.1746,285,33.44
Jui,Uttarākhand,29.67,78.9098,2021,January,0.7866,-0.2219,-0.7045,890,17.05
Amaldu,Uttarākhand,29.9333,78.5333,2021,January,0.2924,0.1494,-0.4167,1406,17.2
Kimsar,Jammu and Kashmīr,34.5,74.5333,2021,January,0.4404,-0.727,-0.4375,3058,-3.76
Sinduri,Himāchal Pradesh,30.7167,77.15,2021,January,0.3851,0.0743,-0.4387,943,17.23
Gorakhpur,Uttar Pradesh,26.7611,83.3667,2021,January,-0.0029,-0.0322,0.0078,84,23.04
Guntur,Andhra Pradesh,16.3,80.45,2021,January,0.1184,-0.0176,-0.098,34,30.49
Karaikandi,Assam,24.8309,92.6143,2021,January,0.6083,-0.197,-0.5305,20,24.04
Mumbai,Mahārāshtra,19.0758,72.8775,2021,February,0.0734,0.0503,-0.1261,5,37.25
Kolkata,West Bengal,22.5675,88.37,2021,February,0.0777,0.0352,-0.1386,6,31.7
Delhi,Delhi,28.66,77.23,2021,February,0.1379,0.0621,-0.1884,219,26.75
Chennai,Tamil Nādu,13.0825,80.275,2021,February,0.0515,0.2469,-0.0777,9,34.24
Bangalore,Karnātaka,12.9791,77.5913,2021,February,0.2839,-0.0456,-0.3067,924,31.57
Ahmedabad,Gujarāt,23.0219,72.5797,2021,February,0.1917,0.0348,-0.2494,52,32.28
Pune,Mahārāshtra,18.5211,73.8553,2021,February,0.2803,0.0052,-0.3013,554,32.91
Hyderabad,Telangāna,17.3617,78.4747,2021,February,0.0851,0.1289,-0.1291,508,34.49
Surat,Gujarāt,21.205,72.84,2021,February,0.1601,0.0954,-0.224,14,34.36
Prayagraj,Uttar Pradesh,25.45,81.85,2021,February,0.2446,0.0711,-0.3235,95,28.94
Kanpur,Gujarāt,24.285,72.6933,2021,February,0.4641,-0.0639,-0.5066,335,32.46
Kanpur,Uttar Pradesh,26.4725,80.3311,2021,February,0.121,0.0418,-0.1877,132,28.57
Belahi,Bihār,25.7167,86.4,2021,February,0.2243,0.0297,-0.2364,41,24.1
Vadodara,Gujarāt,22.3,73.2,2021,February,0.139,0.0668,-0.1974,38,33.57
Nadampalaiyam,Tamil Nādu,11.1793,77.376,2021,February,0.1148,0.1105,-0.1884,318,35.71
Lucknow,Uttar Pradesh,26.847,80.947,2021,February,0.0736,0.065,-0.1218,115,28.15
Kannankulam,Kerala,10.4799,76.1131,2021,February,0.6179,-0.0719,-0.5674,13,32.13
Mahuakheraganj,Uttarākhand,29.13,78.95,2021,February,0.4301,-0.2021,-0.4267,222,23.37
Nagla,Uttarākhand,29.01,79.51,2021,February,0.5498,-0.1956,-0.4882,227,23.88
Jaipur,Rājasthān,26.915,75.82,2021,February,0.5449,-0.1423,-0.5588,441,29.84
Kottarassheri,Kerala,10.6167,76.5333,2021,February,0.238,0.2878,-0.3642,147,31.65
Attadappa,Kerala,11.85,75.4167,2021,February,0.7012,-0.2576,-0.6241,37,32.7
Barmhan Kalan,Madhya Pradesh,23.0333,79.0167,2021,February,0.549,-0.0563,-0.5938,337,29.47
Gorakhpur,Chhattīsgarh,22.1688,81.6042,2021,February,0.288,0.0663,-0.3828,305,31.92
Nagpur,Mahārāshtra,21.1497,79.0806,2021,February,0.3247,-0.0767,-0.3667,318,33.24
Guwahati,Assam,26.1806,91.7502,2021,February,-0.0108,-0.001,0.0288,57,26.51
Ghaziabad,Uttar Pradesh,28.6667,77.4167,2021,February,0.1425,0.0278,-0.163,211,27.41
Coimbatore,Tamil Nādu,11.0008,76.9633,2021,February,0.238,0.0443,-0.2592,417,34.08
Patna,Bihār,25.61,85.1414,2021,February,0.1152,0.1438,-0.1965,63,27.18
Rajkot,Gujarāt,22.2969,70.7984,2021,February,0.0701,0.2601,-0.1473,134,33.19
Vishakhapatnam,Andhra Pradesh,17.6939,83.2922,2021,February,0.1323,0.1687,-0.1697,12,32.44
Indore,Madhya Pradesh,22.7186,75.855,2021,February,0.0788,0.1575,-0.1725,553,32.42
Abhepur,Punjab,30.6667,76.8333,2021,February,0.0652,0.0113,-0.0806,311,25.62
Gumanwala,Uttarākhand,29.9333,77.9,2021,February,0.6117,-0.3807,-0.5299,277,22.94
Thane,Mahārāshtra,19.18,72.9633,2021,February,0.6543,-0.2343,-0.6003,14,34.73
Bhopal,Madhya Pradesh,23.25,77.4167,2021,February,0.1148,0.1096,-0.1727,512,29.95
Agra,Uttar Pradesh,27.18,78.02,2021,February,0.2146,0.1554,-0.3003,184,28.06
Peyanvilai,Tamil Nādu,8.5674,78.1046,2021,February,0.0974,-0.081,-0.0831,8,31.33
Pimpri-Chinchwad,Mahārāshtra,18.6278,73.8131,2021,February,0.5802,-0.1771,-0.5793,584,33.65
Harbatpur,Uttarākhand,30.45,77.73,2021,February,0.286,-0.0883,-0.2596,445,22.67
Saundhonwali,Uttarākhand,30.3331,77.9608,2021,February,0.0577,0.0652,-0.0942,612,24.65
Ludhiana,Punjab,30.9083,75.8486,2021,February,0.1904,-0.059,-0.2334,243,24.41
Meerut,Uttar Pradesh,28.98,77.7064,2021,February,0.0911,0.0989,-0.1852,228,26.37
Madurai,Tamil Nādu,9.9197,78.1194,2021,February,0.1448,0.2802,-0.2901,141,35.95
Nasik,Mahārāshtra,20.0,73.7833,2021,February,0.1363,0.087,-0.2245,588,33.04
Faridabad,Haryāna,28.4167,77.3,2021,February,0.1716,0.0655,-0.2065,208,27.53
Madarpur,Bihār,26.227,84.6746,2021,February,0.1231,0.0692,-0.1924,69,24.14
Najafgarh,Delhi,28.6125,76.9847,2021,February,0.067,0.0737,-0.1312,220,26.43
Jabalpur,Madhya Pradesh,23.1667,79.9333,2021,February,0.1242,0.1286,-0.2235,399,31.09
Madanpur,Uttarākhand,29.326,79.1537,2021,February,0.6273,-0.2714,-0.5626,315,24.37
Kamalwaganja Gaur,Uttarākhand,29.2117,79.4654,2021,February,0.3657,0.08,-0.3743,383,26.22
Kalyan,Mahārāshtra,19.25,73.15,2021,February,0.1838,0.111,-0.2391,10,35.57
Asansol,West Bengal,23.6833,86.9667,2021,February,0.104,0.118,-0.18,125,30.45
Vijayawada ,Andhra Pradesh,16.5167,80.6167,2021,February,0.3841,-0.0315,-0.3994,27,31.4
Vasai-Virar,Mahārāshtra,19.47,72.8,2021,February,0.0896,0.2549,-0.1533,0,36.18
Varanasi,Uttar Pradesh,25.3189,83.0128,2021,February,0.1364,0.0639,-0.2412,78,27.74
Kalleli,Kerala,9.2,76.8833,2021,February,0.7656,-0.1681,-0.6947,133,32.38
Srinagar,Jammu and Kashmīr,34.0911,74.8061,2021,February,0.0355,0.1252,-0.0419,1595,16.83
Aurangabad,Mahārāshtra,19.88,75.32,2021,February,0.3035,0.0159,-0.3597,564,35.15
Dhanbad,Jhārkhand,23.7928,86.435,2021,February,0.239,0.0813,-0.3311,245,30.7
Amritsar,Punjab,31.6269,74.877,2021,February,0.066,-0.0029,-0.1456,234,26.16
Haora,West Bengal,22.58,88.3294,2021,February,0.1575,0.0947,-0.2184,12,29.28
Ranchi,Jhārkhand,23.3556,85.3347,2021,February,0.3803,-0.0295,-0.3797,643,30.01
Gwalior,Madhya Pradesh,26.2125,78.1775,2021,February,0.0565,0.106,-0.1906,215,29.8
Jodhpur,Rājasthān,26.2944,73.0278,2021,February,0.1246,0.0691,-0.2163,251,31.56
Chandigarh,Chandīgarh,30.7364,76.7883,2021,February,0.2156,-0.043,-0.1934,349,24.67
Raipur,Chhattīsgarh,21.2379,81.6337,2021,February,0.0941,0.0208,-0.1611,309,33.31
Warangal,Telangāna,17.9756,79.6011,2021,February,0.0887,0.101,-0.1515,269,33.27
Kota,Rājasthān,25.18,75.83,2021,February,0.1779,-0.0441,-0.2845,230,29.79
Bareilly,Uttar Pradesh,28.364,79.415,2021,February,0.0012,0.1197,-0.0398,180,26.26
Solapur,Mahārāshtra,17.6703,75.9011,2021,February,0.1247,0.0929,-0.1833,474,36.32
Hubli,Karnātaka,15.3108,75.0925,2021,February,0.2288,0.0899,-0.2816,618,34.81
Mysore,Karnātaka,12.3086,76.6531,2021,February,0.0792,0.1201,-0.1262,747,33.7
Trichinopoly,Tamil Nādu,10.8269,78.6928,2021,February,0.2583,0.0861,-0.3026,74,34.06
Moradabad,Uttar Pradesh,28.8389,78.7769,2021,February,0.0812,0.0895,-0.1117,205,26.53
Tiruppur,Tamil Nādu,11.1075,77.3398,2021,February,0.2388,0.0722,-0.224,305,35.84
Jamnagar,Gujarāt,22.47,70.07,2021,February,0.2389,0.2031,-0.3099,21,32.21
Gurgaon,Haryāna,28.4667,77.0333,2021,February,0.1664,0.0051,-0.2512,224,26.33
Aligarh,Uttar Pradesh,27.88,78.08,2021,February,0.1568,-0.0029,-0.2148,190,27.76
Jalandhar,Punjab,31.3256,75.5792,2021,February,0.0375,0.0129,-0.0587,242,25.76
Bhubaneshwar,Odisha,20.295,85.825,2021,February,0.135,0.0396,-0.1992,47,33.45
Bhayandar,Mahārāshtra,19.3,72.85,2021,February,0.23,0.1427,-0.2508,9,34.05
Narela,Delhi,28.85,77.1,2021,February,0.2656,0.1188,-0.3604,212,25.63
Shishgarh,Uttar Pradesh,28.72,79.32,2021,February,0.6696,-0.3859,-0.588,181,23.8
Thiruvananthapuram,Kerala,8.4875,76.9525,2021,February,0.0484,0.0794,-0.1116,15,36.98
Dispur,Assam,26.15,91.77,2021,February,0.0688,0.0446,-0.0402,116,27.44
Durgapur,West Bengal,23.55,87.32,2021,February,0.197,0.0545,-0.2327,90,31.28
Bhiwandi,Mahārāshtra,19.3,73.0667,2021,February,0.0746,0.0394,-0.1574,25,39.21
Saharanpur,Uttar Pradesh,29.964,77.546,2021,February,-0.0525,0.1207,0.0528,280,25.99
Shiliguri,West Bengal,26.72,88.42,2021,February,0.1207,0.0719,-0.1782,119,29.58
Avadi,Tamil Nādu,13.1147,80.1098,2021,February,0.3219,0.0154,-0.3199,32,33.75
Salem,Tamil Nādu,11.65,78.1667,2021,February,0.0652,0.0994,-0.2027,285,36.26
Jui,Uttarākhand,29.67,78.9098,2021,February,0.6867,-0.0876,-0.6332,890,21.73
Amaldu,Uttarākhand,29.9333,78.5333,2021,February,0.2448,0.184,-0.3591,1406,21.99
Kimsar,Jammu and Kashmīr,34.5,74.5333,2021,February,0.3201,-0.673,-0.3423,3058,1.14
Sinduri,Himāchal Pradesh,30.7167,77.15,2021,February,0.3069,0.0975,-0.388,943,22.28
Gorakhpur,Uttar Pradesh,26.7611,83.3667,2021,February,0.1069,0.0669,-0.149,84,26.61
Guntur,Andhra Pradesh,16.3,80.45,2021,February,0.1666,0.1001,-0.1857,34,35.15
Karaikandi,Assam,24.8309,92.6143,2021,February,0.5674,-0.1439,-0.4869,20,28.28
Mumbai,Mahārāshtra,19.0758,72.8775,2021,March,0.0678,0.1057,-0.1282,5,39.81
Kolkata,West Bengal,22.5675,88.37,2021,March,0.0611,0.0643,-0.1162,6,36.37
Delhi,Delhi,28.66,77.23,2021,March,0.142,0.0254,-0.2272,219,33.66
Chennai,Tamil Nādu,13.0825,80.275,2021,March,0.0597,0.2462,-0.104,9,37.06
Bangalore,Karnātaka,12.9791,77.5913,2021,March,0.4097,-0.1275,-0.4237,924,35.75
Ahmedabad,Gujarāt,23.0219,72.5797,2021,March,0.1666,0.0487,-0.2305,52,38.26
Pune,Mahārāshtra,18.5211,73.8553,2021,March,0.3095,-0.0033,-0.3428,554,37.77
Hyderabad,Telangāna,17.3617,78.4747,2021,March,0.1069,0.1483,-0.2028,508,38.74
Surat,Gujarāt,21.205,72.84,2021,March,0.1653,0.0758,-0.2429,14,39.73
Prayagraj,Uttar Pradesh,25.45,81.85,2021,March,0.2609,0.0514,-0.341,95,35.08
Kanpur,Gujarāt,24.285,72.6933,2021,March,0.4246,-0.0266,-0.4774,335,40.78
Kanpur,Uttar Pradesh,26.4725,80.3311,2021,March,0.0951,0.0485,-0.172,132,35.29
Belahi,Bihār,25.7167,86.4,2021,March,0.4304,-0.1218,-0.4248,41,28.05
Vadodara,Gujarāt,22.3,73.2,2021,March,0.188,0.0375,-0.251,38,39.21
Nadampalaiyam,Tamil Nādu,11.1793,77.376,2021,March,0.1365,0.1092,-0.2122,318,40.55
Lucknow,Uttar Pradesh,26.847,80.947,2021,March,0.08,0.0918,-0.1444,115,34.11
Kannankulam,Kerala,10.4799,76.1131,2021,March,0.4269,-0.0845,-0.359,13,34.6
Mahuakheraganj,Uttarākhand,29.13,78.95,2021,March,0.2408,-0.085,-0.2537,222,29.66
Nagla,Uttarākhand,29.01,79.51,2021,March,0.4011,-0.1179,-0.3984,227,28.77
Jaipur,Rājasthān,26.915,75.82,2021,March,0.4842,-0.0883,-0.5004,441,35.3
Kottarassheri,Kerala,10.6167,76.5333,2021,March,0.2305,0.2849,-0.3543,147,33.55
Attadappa,Kerala,11.85,75.4167,2021,March,0.657,-0.2177,-0.59,37,33.67
Barmhan Kalan,Madhya Pradesh,23.0333,79.0167,2021,March,0.4134,-0.0405,-0.4637,337,37.6
Gorakhpur,Chhattīsgarh,22.1688,81.6042,2021,March,0.2572,0.1107,-0.3637,305,39.33
Nagpur,Mahārāshtra,21.1497,79.0806,2021,March,0.3117,-0.0315,-0.3808,318,36.91
Guwahati,Assam,26.1806,91.7502,2021,March,0.0075,0.127,-0.0555,57,29.44
Ghaziabad,Uttar Pradesh,28.6667,77.4167,2021,March,0.1692,0.0057,-0.21,211,34.02
Coimbatore,Tamil Nādu,11.0008,76.9633,2021,March,0.2373,0.0832,-0.2655,417,38.37
Patna,Bihār,25.61,85.1414,2021,March,0.1039,0.1468,-0.2166,63,33.79
Rajkot,Gujarāt,22.2969,70.7984,2021,March,0.0971,0.2158,-0.1923,134,40.11
Vishakhapatnam,Andhra Pradesh,17.6939,83.2922,2021,March,0.1184,0.0969,-0.1418,12,34.64
Indore,Madhya Pradesh,22.7186,75.855,2021,March,0.082,0.1602,-0.1869,553,38.86
Abhepur,Punjab,30.6667,76.8333,2021,March,0.1708,-0.0117,-0.24,311,32.51
Gumanwala,Uttarākhand,29.9333,77.9,2021,March,0.5404,-0.1988,-0.5407,277,29.12
Thane,Mahārāshtra,19.18,72.9633,2021,March,0.6187,-0.2231,-0.6068,14,37.63
Bhopal,Madhya Pradesh,23.25,77.4167,2021,March,0.0943,0.1056,-0.1588,512,35.51
Agra,Uttar Pradesh,27.18,78.02,2021,March,0.1958,0.1073,-0.3256,184,35.31
Peyanvilai,Tamil Nādu,8.5674,78.1046,2021,March,0.3977,-0.0796,-0.3966,8,33.37
Pimpri-Chinchwad,Mahārāshtra,18.6278,73.8131,2021,March,0.7156,-0.2869,-0.6986,584,39.34
Harbatpur,Uttarākhand,30.45,77.73,2021,March,0.2763,0.0338,-0.3354,445,29.07
Saundhonwali,Uttarākhand,30.3331,77.9608,2021,March,0.0625,0.0576,-0.1405,612,30.66
Ludhiana,Punjab,30.9083,75.8486,2021,March,0.1538,-0.0762,-0.1896,243,30.54
Meerut,Uttar Pradesh,28.98,77.7064,2021,March,0.1144,0.0625,-0.1957,228,33.63
Madurai,Tamil Nādu,9.9197,78.1194,2021,March,0.1168,0.2871,-0.2716,141,39.37
Nasik,Mahārāshtra,20.0,73.7833,2021,March,0.1374,0.0777,-0.2225,588,39.0
Faridabad,Haryāna,28.4167,77.3,2021,March,0.2267,0.0294,-0.2693,208,34.19
Madarpur,Bihār,26.227,84.6746,2021,March,0.1759,-0.0087,-0.2116,69,30.66
Najafgarh,Delhi,28.6125,76.9847,2021,March,0.0792,0.0724,-0.1538,220,33.51
Jabalpur,Madhya Pradesh,23.1667,79.9333,2021,March,0.1113,0.1297,-0.2083,399,37.92
Madanpur,Uttarākhand,29.326,79.1537,2021,March,0.5552,-0.2667,-0.5005,315,30.0
Kamalwaganja Gaur,Uttarākhand,29.2117,79.4654,2021,March,0.2097,0.0908,-0.2462,383,32.0
Kalyan,Mahārāshtra,19.25,73.15,2021,March,0.1893,0.0974,-0.2524,10,39.43
Asansol,West Bengal,23.6833,86.9667,2021,March,0.1448,0.1211,-0.2411,125,35.06
Vijayawada ,Andhra Pradesh,16.5167,80.6167,2021,March,0.3168,0.046,-0.3559,27,34.7
Vasai-Virar,Mahārāshtra,19.47,72.8,2021,March,0.1071,0.2618,-0.187,0,39.37
Varanasi,Uttar Pradesh,25.3189,83.0128,2021,March,0.1488,0.0457,-0.2558,78,34.1
Kalleli,Kerala,9.2,76.8833,2021,March,0.8951,-0.2957,-0.7771,133,32.35
Srinagar,Jammu and Kashmīr,34.0911,74.8061,2021,March,0.0879,0.0948,-0.113,1595,24.7
Aurangabad,Mahārāshtra,19.88,75.32,2021,March,0.2488,0.026,-0.2899,564,41.17
Dhanbad,Jhārkhand,23.7928,86.435,2021,March,0.3666,0.0132,-0.4331,245,35.59
Amritsar,Punjab,31.6269,74.877,2021,March,0.0571,-0.0191,-0.1298,234,31.0
Haora,West Bengal,22.58,88.3294,2021,March,0.129,0.0815,-0.1817,12,34.4
Ranchi,Jhārkhand,23.3556,85.3347,2021,March,0.4727,-0.0648,-0.5037,643,35.36
Gwalior,Madhya Pradesh,26.2125,78.1775,2021,March,0.0751,0.0838,-0.1644,215,35.87
Jodhpur,Rājasthān,26.2944,73.0278,2021,March,0.0998,0.0762,-0.1744,251,36.76
Chandigarh,Chandīgarh,30.7364,76.7883,2021,March,0.399,-0.0659,-0.4217,349,31.2
Raipur,Chhattīsgarh,21.2379,81.6337,2021,March,0.1081,0.0558,-0.1768,309,37.22
Warangal,Telangāna,17.9756,79.6011,2021,March,0.1032,0.1123,-0.1794,269,36.28
Kota,Rājasthān,25.18,75.83,2021,March,0.1493,-0.0305,-0.2621,230,36.64
Bareilly,Uttar Pradesh,28.364,79.415,2021,March,0.0774,0.0888,-0.1619,180,32.56
Solapur,Mahārāshtra,17.6703,75.9011,2021,March,0.1175,0.1035,-0.187,474,41.45
Hubli,Karnātaka,15.3108,75.0925,2021,March,0.2098,0.1302,-0.2687,618,39.76
Mysore,Karnātaka,12.3086,76.6531,2021,March,0.0925,0.1248,-0.1549,747,38.11
Trichinopoly,Tamil Nādu,10.8269,78.6928,2021,March,0.2518,0.0737,-0.2982,74,36.75
Moradabad,Uttar Pradesh,28.8389,78.7769,2021,March,0.2145,0.0408,-0.3029,205,32.88
Tiruppur,Tamil Nādu,11.1075,77.3398,2021,March,0.2819,0.0835,-0.3092,305,39.13
